Type,Price,Quantity
BID,4753,102
ASK,4753,20
BID,4753,67
ASK,4753,2
BID,4753,4
ASK,4752,102
BID,4752,15
ASK,4752,65
BID,4751,64
ASK,4751,81
BID,4751,16
ASK,475,74
BID,475,14
ASK,475,95
BID,475,1
ASK,475,87
BID,4748,84
ASK,4746,54
BID,4746,60
ASK,4746,45
BID,4745,42
ASK,4745,57
BID,4745,46
ASK,4746,34
BID,4744,50
ASK,4745,49
BID,4744,42
ASK,4744,41
BID,4743,88
ASK,4742,34
BID,4742,101
ASK,4742,73
BID,4741,19
ASK,4741,42
BID,474,100
ASK,4742,34
BID,474,59
ASK,474,70
BID,474,91
ASK,4741,6
BID,4739,79
ASK,4739,32
BID,4738,96
ASK,4738,44
BID,4738,18
ASK,4736,84
BID,4736,14
ASK,4736,55
BID,4736,48
ASK,4736,26
BID,4736,75
ASK,4736,42
BID,4736,48
ASK,4736,95
BID,4735,21
ASK,4738,54
BID,4735,7
ASK,4737,79
BID,4735,25
ASK,4736,53
BID,4731,99
ASK,4732,48
BID,4731,101
ASK,4732,99
BID,4731,57
ASK,4731,32
BID,4731,43
ASK,4731,81
BID,4729,73
ASK,4729,49
BID,4729,101
ASK,4728,78
BID,4728,86
ASK,4729,101
BID,4728,62
ASK,4727,51
BID,4727,34
ASK,4727,18
BID,4726,51
ASK,4727,45
BID,4726,71
ASK,4727,93
BID,4726,63
ASK,4727,13
BID,4726,26
ASK,4727,47
BID,4726,71
ASK,4725,92
BID,4723,88
ASK,4723,92
BID,4723,46
ASK,4723,30
BID,4723,66
ASK,4722,48
BID,4722,76
ASK,4722,10
BID,4722,90
ASK,4722,1
BID,4722,37
ASK,4721,24
BID,4721,29
ASK,4719,96
BID,4719,4
ASK,472,44
BID,4718,64
ASK,4719,56
BID,4718,13
ASK,472,6
BID,4717,99
ASK,4715,90
BID,4715,22
ASK,4713,1
BID,4712,92
ASK,4711,76
BID,471,79
ASK,4709,20
BID,4709,5
ASK,4709,15
BID,4709,96
ASK,4709,70
BID,4708,47
ASK,4707,11
BID,4707,96
ASK,4707,91
BID,4706,29
ASK,4707,41
BID,4706,15
ASK,4706,6
BID,4705,102
ASK,4705,65
BID,4701,44
ASK,4701,98
BID,4701,54
ASK,4701,37
BID,4701,56
ASK,4701,45
BID,4701,53
ASK,470,76
BID,470,38
ASK,4699,47
BID,4699,9
ASK,4697,27
BID,4697,61
ASK,4697,38
BID,4696,15
ASK,4697,99
BID,4696,43
ASK,4696,57
BID,4696,90
ASK,4697,2
BID,4695,78
ASK,4695,35
BID,4694,53
ASK,4695,35
BID,4694,23
ASK,4693,41
BID,4693,5
ASK,4693,70
BID,4693,67
ASK,4693,6
BID,4692,79
ASK,4693,1
BID,4692,72
ASK,4692,22
BID,4692,25
ASK,4692,14
BID,4692,54
ASK,4693,101
BID,469,74
ASK,469,78
BID,469,47
ASK,469,88
BID,469,9
ASK,4689,66
BID,4689,84
ASK,4689,93
BID,4688,30
ASK,4688,48
BID,4687,39
ASK,4687,81
BID,4687,12
ASK,4687,86
BID,4686,80
ASK,4686,68
BID,4686,6
ASK,4686,41
BID,4686,89
ASK,4686,65
BID,4686,60
ASK,4689,87
BID,4685,85
ASK,4684,81
BID,4684,21
ASK,4684,7
BID,4684,70
ASK,4684,14
BID,4684,54
ASK,4684,61
BID,4683,56
ASK,4685,61
BID,4683,96
ASK,4683,96
BID,4683,92
ASK,4683,74
BID,4682,28
ASK,4682,93
BID,4682,101
ASK,4681,37
BID,4681,99
ASK,4681,16
BID,468,23
ASK,4677,19
BID,4677,25
ASK,4677,15
BID,4676,89
ASK,4675,63
BID,4674,98
ASK,4673,94
BID,4673,92
ASK,4672,28
BID,4672,86
ASK,4673,70
BID,4672,26
ASK,4672,86
BID,4671,41
ASK,4671,75
BID,467,56
ASK,4672,19
BID,467,72
ASK,4673,14
BID,467,69
ASK,4673,27
BID,467,28
ASK,467,59
BID,467,20
ASK,4669,76
BID,4669,101
ASK,4669,50
BID,4668,25
ASK,4668,57
BID,4668,36
ASK,4665,38
BID,4664,102
ASK,4664,40
BID,4663,87
ASK,4666,58
BID,4663,97
ASK,4665,15
BID,4663,81
ASK,4664,59
BID,4662,94
ASK,4663,74
BID,4662,8
ASK,4663,49
BID,4662,29
ASK,4662,21
BID,4662,15
ASK,4661,30
BID,4661,22
ASK,4661,34
BID,466,51
ASK,4661,26
BID,466,100
ASK,4661,76
BID,466,2
ASK,466,67
BID,466,21
ASK,466,37
BID,4658,16
ASK,4658,17
BID,4658,43
ASK,4658,1
BID,4657,55
ASK,4657,12
BID,4657,12
ASK,4657,73
BID,4656,73
ASK,4657,44
BID,4656,29
ASK,4657,15
BID,4656,20
ASK,4655,27
BID,4655,82
ASK,4654,97
BID,4654,62
ASK,4655,16
BID,4653,94
ASK,4652,4
BID,4651,64
ASK,4652,24
BID,4651,51
ASK,4651,37
BID,4651,83
ASK,4651,30
BID,465,59
ASK,465,90
BID,465,50
ASK,465,15
BID,465,44
ASK,465,47
BID,4649,45
ASK,4649,95
BID,4649,90
ASK,4649,56
BID,4648,45
ASK,4648,97
BID,4647,96
ASK,4649,3
BID,4647,99
ASK,4647,24
BID,4646,21
ASK,4646,96
BID,4646,99
ASK,4646,39
BID,4645,77
ASK,4646,102
BID,4645,57
ASK,4646,101
BID,4645,59
ASK,4646,78
BID,4644,94
ASK,4644,62
BID,4644,37
ASK,4644,51
BID,4643,1
ASK,4643,5
BID,4643,65
ASK,4642,6
BID,4641,73
ASK,4642,88
BID,4641,3
ASK,4641,84
BID,4641,49
ASK,464,23
BID,464,2
ASK,4637,21
BID,4637,75
ASK,4636,21
BID,4635,46
ASK,4634,1
BID,4631,47
ASK,4631,26
BID,4631,13
ASK,463,85
BID,4629,5
ASK,4629,48
BID,4628,43
ASK,4628,60
BID,4627,54
ASK,4628,96
BID,4626,102
ASK,4628,48
BID,4624,12
ASK,4624,80
BID,4622,80
ASK,4618,60
BID,4618,42
ASK,4618,75
BID,4617,10
ASK,4617,56
BID,4617,69
ASK,4617,20
BID,4615,74
ASK,4614,61
BID,4613,44
ASK,4614,15
BID,4613,97
ASK,4613,77
BID,4612,78
ASK,4613,92
BID,4611,64
ASK,4611,76
BID,461,31
ASK,461,82
BID,4608,67
ASK,4608,33
BID,4606,14
ASK,4604,86
BID,4604,96
ASK,4603,88
BID,4603,73
ASK,4603,67
BID,4603,62
ASK,4603,80
BID,460,29
ASK,460,1
BID,460,65
ASK,460,37
BID,460,3
ASK,460,47
BID,460,74
ASK,4599,20
BID,4599,53
ASK,4599,88
BID,4598,48
ASK,4598,31
BID,4591,37
ASK,4591,65
BID,459,3
ASK,4591,78
BID,459,23
ASK,459,81
BID,4588,30
ASK,4588,17
BID,4587,95
ASK,4591,83
BID,4584,101
ASK,4584,20
BID,4583,21
ASK,4584,37
BID,4579,1
ASK,4579,40
BID,4579,70
ASK,4576,78
BID,4576,30
ASK,4575,42
BID,4575,72
ASK,4576,48
BID,4575,15
ASK,4577,16
BID,4575,18
ASK,4576,61
BID,4575,55
ASK,4572,37
BID,4572,65
ASK,4572,71
BID,4572,88
ASK,4571,49
BID,4571,52
ASK,4571,97
BID,457,72
ASK,457,55
BID,457,102
ASK,457,20
BID,4569,40
ASK,457,57
BID,4569,86
ASK,4569,96
BID,4569,30
ASK,4569,47
BID,4569,32
ASK,4567,37
BID,4566,65
ASK,4566,61
BID,4564,52
ASK,4564,6
BID,4563,64
ASK,4562,2
BID,4561,24
ASK,4561,99
BID,456,9
ASK,456,18
BID,4558,36
ASK,4558,13
BID,4557,100
ASK,4557,55
BID,4556,84
ASK,4557,94
BID,4556,21
ASK,4556,60
BID,4556,33
ASK,4555,81
BID,4554,53
ASK,4554,81
BID,4549,26
ASK,4549,80
BID,4548,45
ASK,4547,22
BID,4547,29
ASK,4546,16
BID,4546,15
ASK,4546,60
BID,4546,17
ASK,4543,70
BID,454,31
ASK,4539,32
BID,4538,28
ASK,4536,65
BID,4535,20
ASK,4534,90
BID,4533,34
ASK,4533,92
BID,4533,86
ASK,4533,37
BID,4533,32
ASK,4533,98
BID,4531,76
ASK,4531,31
BID,453,92
ASK,4528,25
BID,4528,82
ASK,4531,31
BID,4526,49
ASK,4527,4
BID,4526,61
ASK,4526,94
BID,4525,34
ASK,4526,37
BID,4525,76
ASK,4527,27
BID,4525,5
ASK,4525,77
BID,452,13
ASK,4519,52
BID,4518,41
ASK,4519,99
BID,4518,84
ASK,4518,40
BID,4515,61
ASK,4516,20
BID,451,28
ASK,451,10
BID,4509,49
ASK,4513,70
BID,4508,99
ASK,4507,59
BID,4506,88
ASK,4506,98
BID,4505,71
ASK,4503,80
BID,4503,24
ASK,4502,46
BID,4502,91
ASK,4502,83
BID,4501,35
ASK,4501,40
BID,450,10
ASK,4499,32
BID,4496,90
ASK,4492,77
BID,449,37
ASK,449,38
BID,4488,31
ASK,4488,23
BID,4484,41
ASK,4487,12
BID,4484,3
ASK,4483,51
BID,4479,87
ASK,4479,94
BID,4479,36
ASK,4479,6
BID,4479,29
ASK,4477,71
BID,4474,67
ASK,4474,31
BID,4473,46
ASK,4471,51
BID,4469,52
ASK,4469,91
BID,4468,12
ASK,4469,44
BID,4467,12
ASK,4467,99
BID,4466,89
ASK,4465,99
BID,4465,35
ASK,4465,81
BID,4458,63
ASK,4458,40
BID,4457,89
ASK,4453,19
BID,4453,85
ASK,4453,22
BID,4447,80
ASK,4447,39
BID,4447,42
ASK,4446,50
BID,4446,28
ASK,4446,10
BID,4445,17
ASK,4446,62
BID,4441,98
ASK,444,17
BID,444,60
ASK,444,79
BID,444,87
ASK,4439,74
BID,4436,50
ASK,4437,19
BID,4435,34
ASK,4435,78
BID,4433,79
ASK,4435,12
BID,4433,47
ASK,4433,6
BID,4431,11
ASK,443,24
BID,4425,39
ASK,4424,70
BID,4423,27
ASK,4423,87
BID,4423,66
ASK,4422,51
BID,4422,99
ASK,4422,78
BID,4422,39
ASK,4423,23
BID,4419,6
ASK,442,11
BID,4418,99
ASK,4418,52
BID,4418,87
ASK,4418,62
BID,4418,86
ASK,4418,9
BID,4416,34
ASK,4416,78
BID,4416,24
ASK,4416,77
BID,4414,64
ASK,4414,15
BID,4411,97
ASK,4411,95
BID,4411,61
ASK,4412,27
BID,441,101
ASK,4411,53
BID,441,89
ASK,441,55
BID,4409,88
ASK,4409,17
BID,4409,79
ASK,4409,101
BID,4408,46
ASK,4407,13
BID,4407,51
ASK,4407,77
BID,4406,77
ASK,4406,30
BID,4406,77
ASK,4407,25
BID,4405,86
ASK,4405,82
BID,4404,18
ASK,4403,55
BID,4402,20
ASK,4401,62
BID,4401,37
ASK,4401,24
BID,440,37
ASK,4401,32
BID,440,63
ASK,440,34
BID,4399,23
ASK,440,6
BID,4399,71
ASK,4397,81
BID,4396,22
ASK,4396,41
BID,4395,97
ASK,4395,97
BID,4394,39
ASK,4394,29
BID,4392,62
ASK,4392,21
BID,4391,100
ASK,4392,4
BID,4389,30
ASK,4389,51
BID,4388,16
ASK,4388,23
BID,4388,35
ASK,4388,21
BID,4388,83
ASK,4388,65
BID,4388,40
ASK,4388,41
BID,4387,96
ASK,4385,24
BID,4384,99
ASK,4382,28
BID,4382,62
ASK,4382,72
BID,4381,6
ASK,4382,101
BID,438,16
ASK,4378,41
BID,4378,12
ASK,4378,34
BID,4378,85
ASK,4378,30
BID,4375,81
ASK,4375,28
BID,4374,57
ASK,4375,38
BID,4372,60
ASK,437,2
BID,4368,53
ASK,4368,3
BID,4357,54
ASK,4357,4
BID,4356,64
ASK,4356,98
BID,4356,84
ASK,4356,57
BID,4355,81
ASK,4354,99
BID,4354,47
ASK,4353,11
BID,4353,19
ASK,4353,100
BID,4353,37
ASK,4352,59
BID,4352,20
ASK,4352,6
BID,434,71
ASK,434,25
BID,4339,5
ASK,4339,65
BID,4338,76
ASK,4338,64
BID,4337,48
ASK,4337,90
BID,4334,102
ASK,4335,40
BID,4332,83
ASK,4333,55
BID,4331,50
ASK,4329,42
BID,4329,51
ASK,4329,5
BID,4328,34
ASK,4327,71
BID,4327,61
ASK,4329,80
BID,4325,66
ASK,4324,90
BID,4324,25
ASK,4324,47
BID,4319,20
ASK,4318,55
BID,4318,20
ASK,4318,99
BID,4315,31
ASK,4315,90
BID,4314,81
ASK,4315,12
BID,4312,65
ASK,4312,13
BID,4312,81
ASK,4312,72
BID,431,6
ASK,431,71
BID,4306,9
ASK,4305,21
BID,4304,89
ASK,4305,70
BID,4303,42
ASK,4305,79
BID,4302,4
ASK,4302,75
BID,430,101
ASK,430,102
BID,4298,79
ASK,4298,8
BID,4295,23
ASK,4296,13
BID,4294,23
ASK,4292,17
BID,4291,68
ASK,4293,41
BID,4291,32
ASK,4291,17
BID,429,42
ASK,4287,98
BID,4285,69
ASK,4285,100
BID,4284,75
ASK,4283,76
BID,4282,92
ASK,4283,95
BID,4274,8
ASK,4274,51
BID,4271,8
ASK,4267,86
BID,4263,37
ASK,4263,59
BID,4261,16
ASK,4261,98
BID,4261,25
ASK,4259,74
BID,4256,54
ASK,4258,85
BID,4255,40
ASK,4254,48
BID,4253,31
ASK,4252,93
BID,4252,27
ASK,4252,20
BID,4251,8
ASK,425,7
BID,4235,31
ASK,4233,73
BID,422,61
ASK,422,11
BID,4219,74
ASK,4219,57
BID,4202,19
ASK,4201,57
BID,4196,100
ASK,4196,80
BID,4192,67
ASK,4192,76
BID,419,27
ASK,4189,58
BID,4184,27
ASK,4182,74
BID,4182,95
ASK,4182,3
BID,4181,52
ASK,4181,52
BID,4181,98
ASK,418,21
BID,4179,72
ASK,4179,70
BID,4178,17
ASK,4178,34
BID,4177,95
ASK,4177,32
BID,4177,5
ASK,4177,65
BID,4173,19
ASK,4172,66
BID,4171,89
ASK,417,72
BID,4166,53
ASK,4166,74
BID,4165,31
ASK,4164,4
BID,4164,91
ASK,4164,62
BID,4159,102
ASK,4158,97
BID,4147,21
ASK,4147,95
BID,4145,45
ASK,4144,41
BID,4143,83
ASK,4144,82
BID,4142,70
ASK,4142,10
BID,4141,57
ASK,4141,54
BID,414,91
ASK,4139,77
BID,4132,33
ASK,4132,55
BID,4131,49
ASK,4131,94
BID,4131,76
ASK,4131,85
BID,4129,88
ASK,4129,64
BID,4128,92
ASK,4127,54
BID,4126,60
ASK,4129,92
BID,4125,71
ASK,4126,57
BID,4124,57
ASK,4123,44
BID,4123,86
ASK,4123,38
BID,4123,4
ASK,4122,96
BID,4121,37
ASK,4121,30
BID,4121,48
ASK,4121,56
BID,4116,19
ASK,4115,81
BID,4115,57
ASK,4116,87
BID,4115,82
ASK,4115,41
BID,4112,29
ASK,4112,98
BID,4111,78
ASK,4111,69
BID,4101,94
ASK,410,8
BID,4098,15
ASK,410,81
BID,4088,50
ASK,4088,50
BID,4088,85
ASK,4088,40
BID,4088,78
ASK,4088,90
BID,4086,56
ASK,4086,97
BID,4085,70
ASK,4083,93
BID,4082,23
ASK,4083,8
BID,4081,10
ASK,408,98
BID,4078,37
ASK,4077,49
BID,4077,2
ASK,4074,57
BID,4071,76
ASK,4071,74
BID,4067,95
ASK,4067,85
BID,4066,1
ASK,4065,39
BID,4065,93
ASK,4063,26
BID,4063,91
ASK,4062,24
BID,4061,92
ASK,4061,57
BID,406,79
ASK,4059,90
BID,4059,5
ASK,4059,3
BID,4056,11
ASK,4059,22
BID,4056,19
ASK,4056,26
BID,4054,29
ASK,4054,82
BID,4053,32
ASK,4052,82
BID,4052,68
ASK,4052,56
BID,4048,70
ASK,4045,9
BID,404,69
ASK,4041,1
BID,4039,87
ASK,4039,65
BID,4036,97
ASK,4036,4
BID,4036,47
ASK,4034,14
BID,4021,17
ASK,4022,50
BID,4021,17
ASK,4022,20
BID,4014,33
ASK,4012,46
BID,4004,65
ASK,4004,22
BID,3996,58
ASK,3994,37
BID,3994,100
ASK,3993,90
BID,399,5
ASK,399,61
BID,3989,90
ASK,399,97
BID,3989,12
ASK,3989,35
BID,3988,31
ASK,3991,74
BID,3988,8
ASK,3989,50
BID,3987,87
ASK,3986,1
BID,3982,16
ASK,3983,64
BID,3981,68
ASK,3982,66
BID,3981,82
ASK,398,50
BID,3979,82
ASK,3979,51
BID,3975,12
ASK,3975,71
BID,3974,85
ASK,3975,65
BID,3974,73
ASK,3975,30
BID,3974,52
ASK,3969,58
BID,3969,10
ASK,3969,13
BID,3969,95
ASK,3971,42
BID,3969,16
ASK,3967,56
BID,3965,97
ASK,3966,42
BID,3964,9
ASK,3963,55
BID,3962,90
ASK,3961,17
BID,3955,94
ASK,3955,93
BID,3953,2
ASK,3953,54
BID,3946,29
ASK,3943,34
BID,3943,10
ASK,3943,40
BID,3943,100
ASK,3945,20
BID,3937,68
ASK,3937,10
BID,3933,36
ASK,3933,56
BID,393,82
ASK,3929,91
BID,3929,32
ASK,3929,61
BID,3929,13
ASK,3929,67
BID,3923,55
ASK,3923,64
BID,3923,15
ASK,3923,37
BID,3923,26
ASK,3923,95
BID,3922,36
ASK,3922,24
BID,3915,6
ASK,3915,15
BID,3912,32
ASK,3912,10
