Type,Price,Quantity
BID,16157,12
ASK,16156,64
BID,16154,57
ASK,16148,51
BID,1613,54
ASK,16127,24
BID,16111,47
ASK,16119,52
BID,16108,82
ASK,1611,90
BID,16099,36
ASK,16097,21
BID,1608,22
ASK,16081,34
BID,16078,68
ASK,16074,85
BID,1607,58
ASK,16066,57
BID,1603,15
ASK,1603,77
BID,16026,70
ASK,16026,59
BID,16014,98
ASK,16023,8
BID,16007,76
ASK,16007,63
BID,16006,43
ASK,16006,91
BID,15995,75
ASK,15987,100
BID,15986,50
ASK,15984,70
BID,15967,12
ASK,15967,15
BID,15936,16
ASK,15941,12
BID,15935,68
ASK,15935,44
BID,1593,23
ASK,15931,64
BID,15925,28
ASK,15921,36
BID,15918,43
ASK,15914,74
BID,15902,29
ASK,15902,48
BID,15901,22
ASK,15897,1
BID,15884,51
ASK,15881,32
BID,15878,11
ASK,15874,102
BID,15867,101
ASK,15864,86
BID,15859,44
ASK,15849,33
BID,1584,93
ASK,1584,29
BID,15829,35
ASK,15823,77
BID,1582,67
ASK,1582,23
BID,1580,80
ASK,15801,62
BID,15781,25
ASK,15781,65
BID,15778,29
ASK,15777,21
BID,15776,3
ASK,15788,49
BID,15769,63
ASK,1577,28
BID,15757,96
ASK,15757,23
BID,15717,57
ASK,15718,9
BID,15717,34
ASK,15718,49
BID,15709,55
ASK,15705,62
BID,15704,26
ASK,15698,19
BID,15696,3
ASK,15695,55
BID,1568,69
ASK,1568,85
BID,15679,100
ASK,1568,49
BID,15675,54
ASK,15672,26
BID,1567,9
ASK,1567,37
BID,15667,85
ASK,15667,99
BID,15661,69
ASK,15659,65
BID,15646,78
ASK,15643,34
BID,15638,75
ASK,15638,73
BID,15637,77
ASK,15636,37
BID,1563,47
ASK,15629,55
BID,15628,67
ASK,15625,88
BID,15611,12
ASK,15612,101
BID,15607,39
ASK,15606,87
BID,15605,71
ASK,15609,100
BID,15597,71
ASK,15597,52
BID,15582,16
ASK,15588,75
BID,15582,46
ASK,15583,11
BID,1558,40
ASK,15588,27
BID,15557,27
ASK,15563,58
BID,15554,7
ASK,15555,69
BID,15554,88
ASK,15551,93
BID,15531,83
ASK,15544,77
BID,15529,8
ASK,15529,69
BID,15525,57
ASK,15529,1
BID,15521,74
ASK,15521,102
BID,1552,90
ASK,15518,54
BID,15517,68
ASK,15517,91
BID,15505,83
ASK,1550,73
BID,15499,91
ASK,15504,53
BID,15498,60
ASK,1550,31
BID,15488,39
ASK,15488,2
BID,15487,73
ASK,15488,81
BID,15482,26
ASK,15485,6
BID,1547,93
ASK,15468,96
BID,15467,17
ASK,15466,45
BID,15461,55
ASK,1546,24
BID,15449,55
ASK,15449,86
BID,15447,33
ASK,15446,50
BID,15426,95
ASK,15429,68
BID,15422,47
ASK,15427,11
BID,15422,11
ASK,15425,61
BID,15413,58
ASK,15414,3
BID,15402,89
ASK,15401,87
BID,15396,11
ASK,1539,45
BID,15382,6
ASK,15377,97
BID,15373,15
ASK,15372,97
BID,15369,78
ASK,15373,21
BID,15366,54
ASK,15364,88
BID,15335,95
ASK,15334,71
BID,15329,77
ASK,15329,80
BID,15309,50
ASK,15309,91
BID,15297,11
ASK,15305,83
BID,15294,10
ASK,15295,51
BID,15248,96
ASK,15245,76
BID,15242,48
ASK,15244,34
BID,15242,16
ASK,15243,9
BID,15242,88
ASK,15243,80
BID,15229,84
ASK,15233,1
BID,15226,57
ASK,15224,85
BID,1521,99
ASK,15204,59
BID,15194,50
ASK,15189,53
BID,15188,62
ASK,15189,47
BID,1518,10
ASK,15181,83
BID,1518,68
ASK,15181,97
BID,15177,95
ASK,15178,79
BID,1515,10
ASK,15164,82
BID,15136,91
ASK,15137,70
BID,15123,85
ASK,15125,29
BID,15105,66
ASK,15105,51
BID,15101,99
ASK,15101,57
BID,15092,15
ASK,15093,18
BID,15091,86
ASK,15091,84
BID,15074,62
ASK,15074,35
BID,15071,46
ASK,15072,21
BID,15054,29
ASK,15056,29
BID,15049,52
ASK,15055,40
BID,14987,37
ASK,14988,9
BID,14977,90
ASK,14976,20
BID,1495,95
ASK,14951,86
BID,14938,82
ASK,14938,94
BID,14931,12
ASK,14929,83
BID,14925,75
ASK,14927,52
BID,14925,96
ASK,14926,29
BID,14911,32
ASK,14912,54
BID,14904,41
ASK,14907,20
BID,14896,97
ASK,14898,9
BID,14893,101
ASK,14891,83
BID,14887,80
ASK,14892,28
BID,14864,48
ASK,14862,70
BID,1485,100
ASK,14859,70
BID,14844,29
ASK,14843,26
BID,1482,11
ASK,14828,85
BID,14817,51
ASK,14827,18
BID,14814,99
ASK,14823,93
BID,14772,5
ASK,14776,46
BID,14766,68
ASK,1477,1
BID,14739,44
ASK,14744,50
BID,14734,17
ASK,14734,11
BID,14733,72
ASK,14731,46
BID,14718,1
ASK,14718,18
BID,14714,25
ASK,14716,64
BID,14714,65
ASK,14714,82
BID,14674,56
ASK,1469,63
BID,14665,21
ASK,14672,36
BID,14665,37
ASK,14665,43
BID,14613,41
ASK,14614,70
BID,1460,3
ASK,14601,10
BID,14594,6
ASK,14595,48
BID,14589,27
ASK,14589,46
BID,14575,38
ASK,14572,47
BID,14561,72
ASK,14561,87
BID,1452,57
ASK,14521,102
BID,1449,8
ASK,14492,29
BID,14481,88
ASK,1448,87
BID,14434,6
ASK,14439,24
BID,14429,7
ASK,14436,37
BID,14391,76
ASK,14392,82
BID,1439,19
ASK,1439,28
BID,14373,13
ASK,14371,99
BID,14367,10
ASK,14359,102
BID,14341,38
ASK,14342,47
BID,1434,63
ASK,1434,89
BID,14328,15
ASK,14324,96
BID,14259,81
ASK,14259,86
BID,14209,43
ASK,1421,39
BID,14171,39
ASK,14165,49
BID,14151,83
ASK,14151,3
BID,1413,30
ASK,14132,49
BID,14099,40
ASK,1410,15
BID,14093,81
ASK,14087,36
BID,14079,15
ASK,14081,94
BID,1404,87
ASK,14046,33
BID,14022,68
ASK,14019,29
BID,1401,63
ASK,14012,76
BID,1401,83
ASK,14001,29
BID,13997,67
ASK,13999,75
BID,13992,6
ASK,1399,19
BID,13989,34
ASK,1399,76
BID,13971,63
ASK,13972,40
BID,1397,94
ASK,13961,14
BID,1395,34
ASK,13945,1
BID,13922,11
ASK,13922,59
BID,13917,4
ASK,13924,30
BID,13913,38
ASK,13912,20
BID,13906,14
ASK,13904,23
BID,13898,7
ASK,13898,84
BID,13886,78
ASK,13886,11
BID,13876,53
ASK,13878,13
BID,13872,33
ASK,13871,40
BID,13868,71
ASK,13867,56
BID,1385,82
ASK,13844,82
BID,13842,100
ASK,13845,16
BID,13813,10
ASK,13816,64
BID,13783,3
ASK,13786,57
BID,13759,48
ASK,13756,78
BID,13755,63
ASK,13756,3
BID,13755,7
ASK,13751,39
BID,1375,96
ASK,13749,27
BID,13707,89
ASK,1371,21
BID,13703,50
ASK,1370,79
BID,1369,19
ASK,13691,52
BID,13676,77
ASK,1368,23
BID,13672,101
ASK,13669,35
BID,13668,41
ASK,13669,60
BID,1366,55
ASK,13662,49
BID,13632,62
ASK,13637,49
BID,13631,80
ASK,13631,34
BID,13626,30
ASK,1362,70
BID,13527,48
ASK,13542,50
BID,13489,11
ASK,13494,81
BID,1341,85
ASK,13418,7
BID,13401,83
ASK,13399,16
BID,13397,11
ASK,13397,78
BID,13373,5
ASK,13373,87
BID,13371,27
ASK,13372,90
BID,13349,8
ASK,13353,62
BID,13338,75
ASK,13339,71
BID,13338,56
ASK,1334,49
BID,13337,96
ASK,13337,63
BID,13334,51
ASK,13339,90
BID,13331,81
ASK,13331,62
BID,1333,67
ASK,13329,57
BID,1332,9
ASK,13333,100
BID,13294,37
ASK,13295,53
BID,13248,2
ASK,1324,92
BID,13223,45
ASK,13223,81
BID,13222,78
ASK,13223,96
BID,13218,26
ASK,13227,66
BID,13218,91
ASK,13224,21
