Symbol,Price,Type,Quantity
MSFT,303.52,BID,63
MSFT,303.37,ASK,87
MSFT,303.3,BID,55
MSFT,302.92,ASK,91
MSFT,302.77,BID,55
MSFT,302.77,ASK,75
MSFT,302.71,BID,22
MSFT,302.7,ASK,4
MSFT,302.65,BID,67
MSFT,302.39,ASK,72
MSFT,302.38,BID,70
MSFT,302.0,ASK,43
MSFT,301.99,BID,53
MSFT,302.05,ASK,88
MSFT,301.88,BID,33
MSFT,301.86,ASK,45
MSFT,301.83,BID,35
MSFT,301.59,ASK,49
MSFT,301.54,BID,42
MSFT,301.66,ASK,56
MSFT,301.47,BID,32
MSFT,301.59,ASK,82
MSFT,301.23,BID,19
MSFT,301.2,ASK,38
MSFT,301.15,BID,39
MSFT,301.2,ASK,101
MSFT,301.15,BID,49
MSFT,301.17,ASK,11
MSFT,301.12,BID,75
MSFT,301.07,ASK,10
MSFT,300.95,BID,50
MSFT,300.54,ASK,53
MSFT,300.47,BID,2
MSFT,300.5,ASK,31
MSFT,300.42,BID,38
MSFT,300.23,ASK,29
MSFT,300.22,BID,91
MSFT,300.17,ASK,44
MSFT,300.14,BID,37
MSFT,300.18,ASK,89
MSFT,300.08,BID,48
MSFT,299.94,ASK,18
MSFT,299.93,BID,10
MSFT,299.82,ASK,43
MSFT,299.81,BID,68
MSFT,299.84,ASK,68
MSFT,299.79,BID,100
MSFT,299.7,ASK,69
MSFT,299.65,BID,27
MSFT,299.54,ASK,8
MSFT,299.53,BID,33
MSFT,299.77,ASK,76
MSFT,299.5,BID,13
MSFT,299.46,ASK,58
MSFT,299.41,BID,16
MSFT,299.5,ASK,24
MSFT,299.4,BID,13
MSFT,299.35,ASK,71
MSFT,299.34,BID,7
MSFT,299.2,ASK,57
MSFT,299.15,BID,60
MSFT,299.09,ASK,102
MSFT,299.05,BID,102
MSFT,299.13,ASK,25
MSFT,299.03,BID,88
MSFT,298.58,ASK,43
MSFT,298.53,BID,97
MSFT,297.39,ASK,18
MSFT,297.29,BID,51
MSFT,297.33,ASK,63
MSFT,297.27,BID,24
MSFT,297.06,ASK,22
MSFT,297.02,BID,38
MSFT,297.0,ASK,84
MSFT,296.91,BID,25
MSFT,296.84,ASK,34
MSFT,296.78,BID,19
MSFT,296.97,ASK,2
MSFT,296.72,BID,87
MSFT,296.98,ASK,75
MSFT,296.59,BID,66
MSFT,296.38,ASK,85
MSFT,296.33,BID,32
MSFT,295.95,ASK,95
MSFT,295.88,BID,2
MSFT,295.84,ASK,28
MSFT,295.76,BID,93
MSFT,295.73,ASK,49
MSFT,295.71,BID,49
MSFT,295.57,ASK,84
MSFT,295.38,BID,38
MSFT,295.35,ASK,86
MSFT,295.29,BID,81
MSFT,295.01,ASK,21
MSFT,294.95,BID,12
MSFT,294.98,ASK,102
MSFT,294.94,BID,86
MSFT,294.96,ASK,70
MSFT,294.91,BID,67
MSFT,294.94,ASK,19
MSFT,294.89,BID,5
MSFT,294.85,ASK,33
MSFT,294.84,BID,99
MSFT,294.72,ASK,55
MSFT,294.71,BID,2
MSFT,294.66,ASK,86
MSFT,294.63,BID,48
MSFT,294.59,ASK,84
MSFT,294.46,BID,19
MSFT,294.52,ASK,91
MSFT,294.42,BID,68
MSFT,294.31,ASK,15
MSFT,294.26,BID,32
MSFT,294.24,ASK,26
MSFT,294.17,BID,28
MSFT,294.21,ASK,84
MSFT,294.17,BID,65
MSFT,293.53,ASK,31
MSFT,293.52,BID,2
MSFT,293.24,ASK,45
MSFT,293.2,BID,14
MSFT,293.1,ASK,85
MSFT,293.07,BID,70
MSFT,292.94,ASK,52
MSFT,292.88,BID,80
MSFT,292.88,ASK,4
MSFT,292.85,BID,77
MSFT,292.72,ASK,97
MSFT,292.69,BID,82
MSFT,291.91,ASK,9
MSFT,291.9,BID,52
MSFT,291.57,ASK,75
MSFT,291.55,BID,34
MSFT,291.57,ASK,21
MSFT,291.55,BID,76
MSFT,291.41,ASK,1
MSFT,291.37,BID,16
MSFT,290.78,ASK,94
MSFT,290.73,BID,90
MSFT,290.8,ASK,100
MSFT,290.73,BID,38
MSFT,290.26,ASK,75
MSFT,290.22,BID,10
MSFT,290.13,ASK,97
MSFT,289.94,BID,55
MSFT,289.86,ASK,26
MSFT,289.82,BID,86
MSFT,289.74,ASK,56
MSFT,289.72,BID,59
MSFT,289.8,ASK,102
MSFT,289.68,BID,14
MSFT,289.71,ASK,46
MSFT,289.67,BID,60
MSFT,289.65,ASK,100
MSFT,289.64,BID,1
MSFT,289.55,ASK,34
MSFT,289.52,BID,72
MSFT,289.47,ASK,23
MSFT,289.46,BID,5
MSFT,289.39,ASK,76
MSFT,289.38,BID,28
MSFT,289.14,ASK,98
MSFT,289.13,BID,12
MSFT,289.1,ASK,43
MSFT,288.99,BID,66
MSFT,289.1,ASK,76
MSFT,288.98,BID,1
MSFT,288.8,ASK,2
MSFT,288.79,BID,67
MSFT,288.76,ASK,46
MSFT,288.75,BID,10
MSFT,288.44,ASK,73
MSFT,288.41,BID,90
MSFT,288.6,ASK,35
MSFT,288.36,BID,51
MSFT,288.35,ASK,15
MSFT,288.33,BID,102
MSFT,289.74,ASK,55
MSFT,288.32,BID,33
MSFT,288.28,ASK,21
MSFT,288.27,BID,70
MSFT,288.26,ASK,2
MSFT,288.22,BID,56
MSFT,287.99,ASK,17
MSFT,287.82,BID,65
MSFT,287.99,ASK,39
MSFT,287.75,BID,13
MSFT,287.8,ASK,43
MSFT,287.72,BID,82
MSFT,287.62,ASK,44
MSFT,287.43,BID,41
MSFT,287.25,ASK,58
MSFT,287.24,BID,11
MSFT,287.14,ASK,52
MSFT,287.13,BID,43
MSFT,287.33,ASK,14
MSFT,287.09,BID,38
MSFT,287.13,ASK,101
MSFT,287.08,BID,76
MSFT,287.25,ASK,76
MSFT,287.03,BID,90
MSFT,286.98,ASK,82
MSFT,286.97,BID,98
MSFT,287.11,ASK,76
MSFT,286.91,BID,92
MSFT,286.5,ASK,4
MSFT,286.48,BID,6
MSFT,286.49,ASK,91
MSFT,286.48,BID,29
MSFT,286.46,ASK,78
MSFT,286.44,BID,83
MSFT,286.36,ASK,6
MSFT,286.23,BID,94
MSFT,286.23,ASK,9
MSFT,286.22,BID,48
MSFT,286.16,ASK,38
MSFT,286.15,BID,88
MSFT,286.16,ASK,40
MSFT,286.15,BID,73
MSFT,286.16,ASK,90
MSFT,286.12,BID,102
MSFT,286.14,ASK,20
MSFT,286.11,BID,66
MSFT,285.8,ASK,80
MSFT,285.79,BID,75
MSFT,285.72,ASK,8
MSFT,285.55,BID,2
MSFT,285.38,ASK,81
MSFT,285.27,BID,88
MSFT,285.39,ASK,71
MSFT,285.26,BID,2
MSFT,284.96,ASK,45
MSFT,284.92,BID,29
MSFT,284.83,ASK,57
MSFT,284.82,BID,42
MSFT,284.6,ASK,83
MSFT,284.47,BID,68
MSFT,284.38,ASK,44
MSFT,284.15,BID,12
MSFT,284.09,ASK,29
MSFT,284.07,BID,26
MSFT,284.05,ASK,62
MSFT,284.01,BID,26
MSFT,283.66,ASK,77
MSFT,283.65,BID,33
MSFT,283.61,ASK,48
MSFT,283.58,BID,28
MSFT,283.59,ASK,39
MSFT,283.24,BID,81
MSFT,283.23,ASK,60
MSFT,283.15,BID,24
MSFT,283.35,ASK,12
MSFT,282.89,BID,4
MSFT,282.91,ASK,25
MSFT,282.87,BID,83
MSFT,282.86,ASK,4
MSFT,282.85,BID,86
MSFT,282.54,ASK,51
MSFT,282.51,BID,98
MSFT,282.47,ASK,30
MSFT,282.46,BID,96
MSFT,282.31,ASK,47
MSFT,282.29,BID,13
MSFT,282.02,ASK,3
MSFT,281.97,BID,33
MSFT,281.87,ASK,42
MSFT,281.86,BID,25
MSFT,281.9,ASK,94
MSFT,281.77,BID,91
MSFT,281.72,ASK,99
MSFT,281.69,BID,98
MSFT,281.39,ASK,50
MSFT,281.38,BID,20
MSFT,281.06,ASK,82
MSFT,281.04,BID,64
MSFT,281.02,ASK,47
MSFT,280.98,BID,71
MSFT,280.81,ASK,64
MSFT,280.77,BID,9
MSFT,280.87,ASK,96
MSFT,280.75,BID,21
MSFT,280.81,ASK,54
MSFT,280.74,BID,26
MSFT,280.76,ASK,69
MSFT,280.65,BID,59
MSFT,280.58,ASK,8
MSFT,280.57,BID,27
MSFT,280.6,ASK,57
MSFT,280.52,BID,93
MSFT,280.54,ASK,22
MSFT,280.52,BID,50
MSFT,280.38,ASK,78
MSFT,280.3,BID,65
MSFT,280.35,ASK,81
MSFT,280.14,BID,78
MSFT,280.07,ASK,2
MSFT,280.02,BID,41
MSFT,280.02,ASK,91
MSFT,279.98,BID,100
MSFT,279.92,ASK,62
MSFT,279.78,BID,65
MSFT,279.92,ASK,67
MSFT,279.78,BID,43
MSFT,279.44,ASK,99
MSFT,279.41,BID,2
MSFT,279.32,ASK,41
MSFT,279.31,BID,68
MSFT,279.02,ASK,17
MSFT,278.97,BID,32
MSFT,279.01,ASK,80
MSFT,278.01,BID,39
MSFT,278.02,ASK,59
MSFT,277.95,BID,4
MSFT,277.95,ASK,94
MSFT,277.91,BID,19
MSFT,277.87,ASK,81
MSFT,277.8,BID,11
MSFT,277.66,ASK,27
MSFT,277.64,BID,35
MSFT,277.66,ASK,19
MSFT,277.6,BID,102
MSFT,277.66,ASK,13
MSFT,277.6,BID,54
MSFT,277.62,ASK,18
MSFT,277.58,BID,69
MSFT,277.74,ASK,74
MSFT,277.57,BID,7
MSFT,277.68,ASK,96
MSFT,277.53,BID,90
MSFT,277.64,ASK,38
MSFT,277.47,BID,65
MSFT,277.33,ASK,39
MSFT,277.25,BID,78
MSFT,277.11,ASK,49
MSFT,276.82,BID,51
MSFT,276.44,ASK,52
MSFT,276.42,BID,32
MSFT,276.42,ASK,74
MSFT,276.41,BID,94
MSFT,276.47,ASK,10
MSFT,276.39,BID,83
MSFT,276.44,ASK,91
MSFT,276.37,BID,97
MSFT,276.24,ASK,11
MSFT,275.91,BID,33
MSFT,275.97,ASK,23
MSFT,275.8,BID,83
MSFT,275.79,ASK,85
MSFT,275.72,BID,61
MSFT,275.57,ASK,75
MSFT,275.24,BID,95
MSFT,275.26,ASK,3
MSFT,275.23,BID,101
MSFT,274.82,ASK,1
MSFT,274.74,BID,5
MSFT,274.73,ASK,32
MSFT,274.72,BID,13
MSFT,274.63,ASK,91
MSFT,274.11,BID,29
MSFT,274.04,ASK,60
MSFT,273.79,BID,82
MSFT,273.84,ASK,26
MSFT,273.25,BID,39
MSFT,273.29,ASK,50
MSFT,273.2,BID,28
MSFT,273.29,ASK,44
MSFT,272.92,BID,21
MSFT,272.5,ASK,28
MSFT,272.41,BID,76
MSFT,272.36,ASK,64
MSFT,272.35,BID,100
MSFT,272.29,ASK,54
MSFT,272.22,BID,94
MSFT,272.24,ASK,82
MSFT,272.13,BID,88
MSFT,272.04,ASK,65
MSFT,272.0,BID,3
MSFT,272.01,ASK,5
MSFT,271.77,BID,98
MSFT,271.72,ASK,83
MSFT,271.42,BID,31
MSFT,271.4,ASK,15
MSFT,271.38,BID,41
MSFT,271.32,ASK,98
MSFT,270.93,BID,44
MSFT,270.9,ASK,44
MSFT,270.73,BID,47
MSFT,270.47,ASK,31
MSFT,270.24,BID,55
MSFT,270.27,ASK,29
MSFT,270.06,BID,66
MSFT,270.05,ASK,35
MSFT,269.47,BID,84
MSFT,269.46,ASK,76
MSFT,269.39,BID,18
MSFT,269.33,ASK,74
MSFT,268.74,BID,39
MSFT,268.75,ASK,10
MSFT,268.74,BID,96
MSFT,268.72,ASK,17
MSFT,268.71,BID,56
MSFT,268.68,ASK,69
MSFT,268.46,BID,35
MSFT,268.38,ASK,59
MSFT,268.24,BID,75
MSFT,268.26,ASK,58
MSFT,268.17,BID,24
MSFT,267.98,ASK,71
MSFT,267.66,BID,5
MSFT,267.66,ASK,14
MSFT,267.59,BID,33
MSFT,267.59,ASK,5
MSFT,267.26,BID,10
MSFT,266.91,ASK,6
MSFT,266.86,BID,52
MSFT,266.68,ASK,11
MSFT,266.66,BID,75
MSFT,266.76,ASK,4
MSFT,266.66,BID,85
MSFT,266.64,ASK,30
MSFT,266.26,BID,11
MSFT,266.25,ASK,84
MSFT,266.21,BID,57
MSFT,265.86,ASK,75
MSFT,265.58,BID,73
MSFT,265.52,ASK,88
MSFT,265.51,BID,1
MSFT,265.53,ASK,102
MSFT,265.48,BID,50
MSFT,265.28,ASK,56
MSFT,265.27,BID,21
MSFT,265.31,ASK,25
MSFT,265.23,BID,86
MSFT,265.14,ASK,52
MSFT,265.02,BID,47
MSFT,264.96,ASK,24
MSFT,264.89,BID,10
MSFT,264.88,ASK,37
MSFT,264.86,BID,10
MSFT,264.71,ASK,35
MSFT,264.7,BID,26
MSFT,264.61,ASK,49
MSFT,264.6,BID,25
MSFT,264.59,ASK,99
MSFT,264.55,BID,75
MSFT,264.64,ASK,19
MSFT,264.54,BID,25
MSFT,264.44,ASK,35
MSFT,263.68,BID,26
MSFT,263.76,ASK,85
MSFT,263.33,BID,2
MSFT,263.11,ASK,24
MSFT,263.1,BID,32
MSFT,263.0,ASK,76
MSFT,262.95,BID,41
MSFT,262.97,ASK,23
MSFT,262.75,BID,67
MSFT,262.63,ASK,23
MSFT,262.58,BID,72
MSFT,262.66,ASK,30
MSFT,262.22,BID,102
MSFT,262.27,ASK,32
MSFT,262.19,BID,91
MSFT,262.2,ASK,64
MSFT,262.13,BID,40
MSFT,262.2,ASK,26
MSFT,261.82,BID,1
MSFT,261.68,ASK,65
MSFT,261.55,BID,82
MSFT,261.6,ASK,58
MSFT,261.51,BID,48
MSFT,261.46,ASK,81
MSFT,261.44,BID,48
MSFT,261.15,ASK,59
MSFT,261.14,BID,4
MSFT,261.13,ASK,10
MSFT,261.05,BID,9
MSFT,260.91,ASK,20
MSFT,260.9,BID,88
MSFT,260.84,ASK,83
MSFT,260.73,BID,56
MSFT,260.67,ASK,96
MSFT,260.66,BID,22
MSFT,260.67,ASK,50
MSFT,260.64,BID,25
MSFT,260.74,ASK,11
MSFT,260.61,BID,7
MSFT,260.65,ASK,24
MSFT,260.39,BID,16
MSFT,260.46,ASK,98
MSFT,260.38,BID,80
MSFT,260.38,ASK,64
MSFT,260.34,BID,64
MSFT,260.27,ASK,28
MSFT,259.89,BID,102
MSFT,259.9,ASK,8
MSFT,259.87,BID,3
MSFT,260.05,ASK,40
MSFT,259.57,BID,24
MSFT,259.62,ASK,41
MSFT,259.52,BID,11
MSFT,259.62,ASK,95
MSFT,259.48,BID,53
MSFT,259.5,ASK,17
MSFT,259.43,BID,4
MSFT,259.51,ASK,102
MSFT,259.31,BID,19
MSFT,259.32,ASK,7
MSFT,258.91,BID,86
MSFT,258.95,ASK,81
MSFT,258.84,BID,90
MSFT,258.88,ASK,26
MSFT,258.82,BID,5
MSFT,258.87,ASK,83
MSFT,258.82,BID,66
MSFT,258.56,ASK,86
MSFT,258.53,BID,98
MSFT,258.57,ASK,100
MSFT,258.52,BID,1
MSFT,258.49,ASK,6
MSFT,258.37,BID,99
MSFT,258.34,ASK,31
MSFT,258.28,BID,40
MSFT,258.29,ASK,15
MSFT,258.09,BID,13
MSFT,258.1,ASK,76
MSFT,258.06,BID,7
MSFT,258.1,ASK,20
MSFT,258.06,BID,2
MSFT,258.09,ASK,81
MSFT,257.98,BID,35
MSFT,257.87,ASK,14
MSFT,257.83,BID,102
MSFT,257.47,ASK,2
MSFT,257.39,BID,86
MSFT,257.23,ASK,23
MSFT,257.2,BID,64
MSFT,257.2,ASK,6
MSFT,257.19,BID,4
MSFT,257.22,ASK,57
MSFT,256.93,BID,10
MSFT,256.95,ASK,12
MSFT,256.92,BID,29
MSFT,256.95,ASK,87
MSFT,256.9,BID,24
MSFT,256.99,ASK,78
MSFT,256.86,BID,102
MSFT,256.81,ASK,48
MSFT,256.75,BID,18
MSFT,256.76,ASK,60
MSFT,256.63,BID,91
MSFT,256.49,ASK,95
MSFT,256.09,BID,30
MSFT,256.13,ASK,95
MSFT,256.09,BID,53
MSFT,256.13,ASK,46
MSFT,256.09,BID,100
MSFT,255.96,ASK,40
MSFT,255.87,BID,11
MSFT,255.85,ASK,11
MSFT,255.84,BID,28
MSFT,255.81,ASK,33
MSFT,255.36,BID,92
MSFT,255.36,ASK,48
MSFT,255.35,BID,9
MSFT,255.37,ASK,80
MSFT,255.13,BID,10
MSFT,255.16,ASK,71
MSFT,255.03,BID,64
MSFT,255.03,ASK,52
MSFT,254.94,BID,100
MSFT,254.83,ASK,44
MSFT,254.76,BID,7
MSFT,254.81,ASK,12
MSFT,254.71,BID,100
MSFT,254.72,ASK,88
MSFT,254.34,BID,36
MSFT,254.38,ASK,9
MSFT,254.21,BID,1
MSFT,254.2,ASK,23
MSFT,254.15,BID,4
MSFT,254.31,ASK,81
MSFT,254.14,BID,13
MSFT,254.08,ASK,54
MSFT,254.02,BID,60
MSFT,253.92,ASK,45
MSFT,253.91,BID,88
MSFT,253.86,ASK,20
MSFT,253.83,BID,96
MSFT,253.77,ASK,99
MSFT,253.74,BID,29
MSFT,253.68,ASK,47
MSFT,253.65,BID,29
MSFT,253.74,ASK,82
MSFT,253.63,BID,30
MSFT,253.67,ASK,89
MSFT,253.45,BID,73
MSFT,253.31,ASK,67
MSFT,253.3,BID,41
MSFT,253.33,ASK,70
MSFT,253.25,BID,70
MSFT,253.14,ASK,24
MSFT,253.11,BID,47
MSFT,253.05,ASK,28
MSFT,252.96,BID,38
MSFT,252.9,ASK,87
MSFT,252.77,BID,44
MSFT,252.79,ASK,94
MSFT,252.71,BID,39
MSFT,252.71,ASK,73
MSFT,252.66,BID,92
MSFT,252.69,ASK,13
MSFT,252.58,BID,22
MSFT,252.58,ASK,59
MSFT,252.55,BID,29
MSFT,252.57,ASK,72
MSFT,252.54,BID,78
MSFT,252.52,ASK,42
MSFT,252.51,BID,88
MSFT,252.46,ASK,62
MSFT,252.45,BID,91
MSFT,252.46,ASK,99
MSFT,252.29,BID,41
MSFT,252.31,ASK,57
MSFT,252.25,BID,43
MSFT,252.25,ASK,42
MSFT,252.2,BID,75
MSFT,252.32,ASK,55
MSFT,252.01,BID,6
MSFT,252.0,ASK,99
MSFT,251.99,BID,45
MSFT,251.93,ASK,43
MSFT,251.84,BID,57
MSFT,251.85,ASK,27
MSFT,251.78,BID,70
MSFT,251.81,ASK,14
MSFT,251.73,BID,60
MSFT,251.9,ASK,93
MSFT,251.59,BID,65
MSFT,251.6,ASK,21
MSFT,251.59,BID,38
MSFT,251.5,ASK,25
MSFT,251.11,BID,13
MSFT,251.12,ASK,6
MSFT,250.93,BID,34
MSFT,250.85,ASK,41
MSFT,250.81,BID,77
MSFT,250.78,ASK,98
MSFT,250.77,BID,86
MSFT,250.91,ASK,80
MSFT,250.25,BID,36
MSFT,250.21,ASK,49
MSFT,250.2,BID,12
MSFT,250.21,ASK,25
MSFT,249.88,BID,42
MSFT,249.95,ASK,37
MSFT,249.85,BID,35
MSFT,249.94,ASK,73
MSFT,249.79,BID,31
MSFT,249.94,ASK,31
MSFT,249.79,BID,51
MSFT,249.73,ASK,79
MSFT,249.4,BID,78
MSFT,249.41,ASK,98
MSFT,249.39,BID,86
MSFT,249.4,ASK,8
MSFT,249.34,BID,88
MSFT,249.33,ASK,82
MSFT,249.32,BID,20
MSFT,249.26,ASK,85
MSFT,249.21,BID,99
MSFT,249.06,ASK,67
MSFT,249.01,BID,4
MSFT,249.01,ASK,4
MSFT,248.96,BID,25
MSFT,248.9,ASK,32
MSFT,248.6,BID,26
MSFT,248.6,ASK,2
MSFT,248.16,BID,70
MSFT,248.16,ASK,94
MSFT,248.12,BID,98
MSFT,248.15,ASK,4
MSFT,248.0,BID,54
MSFT,248.04,ASK,12
MSFT,247.94,BID,45
MSFT,247.95,ASK,60
MSFT,247.88,BID,27
MSFT,247.88,ASK,98
MSFT,247.87,BID,100
MSFT,247.86,ASK,8
MSFT,247.63,BID,70
MSFT,247.76,ASK,4
MSFT,247.62,BID,17
MSFT,247.76,ASK,71
MSFT,247.57,BID,18
MSFT,247.67,ASK,73
MSFT,247.57,BID,53
MSFT,247.54,ASK,65
MSFT,247.53,BID,37
MSFT,247.54,ASK,56
MSFT,247.42,BID,51
MSFT,247.41,ASK,37
MSFT,247.4,BID,11
MSFT,247.4,ASK,21
MSFT,247.38,BID,14
MSFT,247.35,ASK,42
MSFT,247.32,BID,89
MSFT,247.32,ASK,95
MSFT,247.23,BID,49
MSFT,247.21,ASK,39
MSFT,247.09,BID,63
MSFT,247.2,ASK,18
MSFT,246.81,BID,65
MSFT,246.87,ASK,93
MSFT,246.54,BID,94
MSFT,246.52,ASK,4
MSFT,246.5,BID,48
MSFT,246.48,ASK,21
MSFT,246.42,BID,56
MSFT,246.4,ASK,57
MSFT,246.39,BID,69
MSFT,246.23,ASK,38
MSFT,245.85,BID,74
MSFT,245.7,ASK,39
MSFT,245.58,BID,59
MSFT,245.45,ASK,1
MSFT,245.42,BID,89
MSFT,245.33,ASK,96
MSFT,245.22,BID,60
MSFT,245.22,ASK,26
MSFT,245.14,BID,16
MSFT,245.18,ASK,10
MSFT,245.13,BID,102
MSFT,245.12,ASK,26
MSFT,245.11,BID,9
MSFT,245.09,ASK,78
MSFT,245.07,BID,40
MSFT,245.08,ASK,53
MSFT,245.04,BID,73
MSFT,245.06,ASK,93
MSFT,245.02,BID,13
MSFT,245.06,ASK,77
MSFT,244.86,BID,12
MSFT,244.75,ASK,62
MSFT,244.67,BID,36
MSFT,244.58,ASK,40
MSFT,244.56,BID,96
MSFT,244.66,ASK,101
MSFT,244.43,BID,33
MSFT,244.5,ASK,35
MSFT,244.43,BID,86
MSFT,244.52,ASK,74
MSFT,244.37,BID,51
MSFT,244.31,ASK,97
MSFT,244.3,BID,49
MSFT,244.26,ASK,29
MSFT,243.84,BID,23
MSFT,244.05,ASK,46
MSFT,243.84,BID,30
MSFT,243.84,ASK,41
MSFT,243.73,BID,91
MSFT,243.8,ASK,72
MSFT,243.69,BID,25
MSFT,243.7,ASK,6
MSFT,243.31,BID,97
MSFT,243.17,ASK,17
MSFT,243.07,BID,21
MSFT,243.08,ASK,51
MSFT,243.03,BID,60
MSFT,243.03,ASK,26
MSFT,242.95,BID,85
MSFT,243.0,ASK,42
MSFT,242.93,BID,10
MSFT,242.94,ASK,78
MSFT,242.92,BID,78
MSFT,242.89,ASK,57
MSFT,242.81,BID,24
MSFT,242.78,ASK,49
MSFT,242.51,BID,39
MSFT,242.51,ASK,102
MSFT,242.49,BID,99
MSFT,242.52,ASK,29
MSFT,242.47,BID,89
MSFT,242.47,ASK,5
MSFT,242.45,BID,81
MSFT,242.38,ASK,25
MSFT,242.35,BID,61
MSFT,242.38,ASK,99
MSFT,242.35,BID,70
MSFT,242.33,ASK,82
MSFT,242.21,BID,26
MSFT,242.22,ASK,43
MSFT,242.06,BID,46
MSFT,242.13,ASK,57
MSFT,242.05,BID,21
MSFT,242.22,ASK,39
MSFT,242.04,BID,79
MSFT,242.09,ASK,79
MSFT,242.03,BID,99
MSFT,242.14,ASK,94
MSFT,242.02,BID,94
MSFT,242.12,ASK,22
MSFT,241.83,BID,53
MSFT,241.86,ASK,70
MSFT,241.82,BID,38
MSFT,241.82,ASK,80
MSFT,241.73,BID,67
MSFT,241.77,ASK,69
MSFT,241.72,BID,57
MSFT,241.77,ASK,72
MSFT,241.69,BID,72
MSFT,241.61,ASK,41
MSFT,241.25,BID,67
MSFT,241.32,ASK,68
MSFT,241.23,BID,20
MSFT,241.03,ASK,66
MSFT,241.02,BID,101
MSFT,241.04,ASK,83
MSFT,240.97,BID,70
MSFT,241.01,ASK,57
MSFT,240.96,BID,13
MSFT,240.8,ASK,78
MSFT,240.7,BID,100
MSFT,240.67,ASK,2
MSFT,240.66,BID,53
MSFT,240.63,ASK,45
MSFT,240.55,BID,58
MSFT,240.48,ASK,17
MSFT,240.45,BID,45
MSFT,240.35,ASK,62
MSFT,240.31,BID,99
MSFT,240.29,ASK,17
MSFT,240.27,BID,30
MSFT,240.16,ASK,77
MSFT,239.96,BID,63
MSFT,239.83,ASK,62
MSFT,239.82,BID,27
MSFT,239.83,ASK,38
MSFT,239.59,BID,75
MSFT,239.59,ASK,49
MSFT,239.51,BID,80
MSFT,239.59,ASK,85
MSFT,239.48,BID,29
MSFT,239.48,ASK,101
MSFT,239.19,BID,27
MSFT,239.19,ASK,5
MSFT,239.11,BID,96
MSFT,239.19,ASK,29
MSFT,239.11,BID,76
MSFT,239.06,ASK,17
MSFT,238.96,BID,78
MSFT,238.96,ASK,96
MSFT,238.89,BID,76
MSFT,238.94,ASK,1
MSFT,238.86,BID,54
MSFT,238.77,ASK,26
MSFT,238.73,BID,32
